"nodegoat ID","Object ID",Name,"Source Object ID","Source Value",Analysis,"MIGMAG Study Region","MIGMAG Study Region - Object ID",Region,"Region - Object ID","Partner Project ID (add GPS location below)","Pleiades Link","DAI Gazetteer Link","ToposText Link","Geography and topography","Geography and topography - Object ID",Notes,"[GPS Location] Sub-Object ID","[GPS Location] Location Reference","[GPS Location] Location Reference - Object ID","[GPS Location] Geometry"
ngSZ5E88eSZKeTpmcTB68hpXtTG,14341958,Molossia,,,,None,11945199,"Northern Greece",12427799,,https://pleiades.stoa.org/places/531003,,https://topostext.org/place/398206RMol,Uplands,14016048,"Region of Northern Greece, Epirus",21061664,,0,"{""type"": ""Point"", ""coordinates"": [20.647619662647, 39.77579494616]}"
ngDK4D38pFUV4EaHnDM1nsaQeER,14341743,Gyrton,,,,None,11945199,Thessaly,12409570,,https://pleiades.stoa.org/places/540798,,https://topostext.org/place/398226UGyr,"Agricultural plain",13960736,,21061665,,0,"{""type"": ""Point"", ""coordinates"": [22.569853, 39.798151]}"
ngSZ3O28eSJK2TpScUB0ehpTtTm,14341732,Phthia,,,,None,11945199,Thessaly,12409570,,https://pleiades.stoa.org/places/541052,https://gazetteer.dainst.org/place/2764376,,"Agricultural plain",13960736,"A mythical place of the Illiad, not archaeologically confirmed",21061666,,0,"{""type"": ""Point"", ""coordinates"": [22.378252662692, 39.321705458071]}"
ngUB8M68gULMeVrIeWD41jrlvUq4e,14345286,Argissa,,,,None,11945199,Thessaly,12409570,,,https://gazetteer.dainst.org/place/2295308,https://topostext.org/place/397224UArg,"Agricultural plain",13960736,,21061656,,0,"{""type"": ""Point"", ""coordinates"": [22.3, 39.7]}"
ngOV8A08aPbG4PlmyOH8bdljpPC,14345280,Phokis,,,,None,11945199,Phokis,12409569,,,https://gazetteer.dainst.org/place/2296352,,Uplands,14016048,"Region of Central Greece",21061657,,0,"{""type"": ""Point"", ""coordinates"": [22.3, 38.5]}"
ngDK6x98pDqV2EaDnD07osaIeER,14341969,Ismaros,,,,None,11945199,Other,12433933,,https://pleiades.stoa.org/places/507409,,https://topostext.org/place/410254UIsm,Coastal,13960730,"Ἴσμαρος - Ismaros, ancient settlement near Ismaris lake, Rodopi, Thrace. Not archaeologically identified - mythical place",,,,
ngAH6I68mAxS8BxMkBT4mpxzbAu,14341966,Aiaia,,,,None,11945199,Other,12433933,,,,https://topostext.org/place/411127IKir,Island,14186481,"δώματα Κίρκης - Aiaia/Isle of Circe, Aiaia or Circe's Isle, where men turn into pigs, location debatable - mythical place",,,,
ngVC0D98hWiN2WsJfWu7hksKwGJ,13810209,Ixia,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589827,,https://topostext.org/place/359279UIxi,Coastal,13960730,"Ἰξίαι - Ixia, fortress and harbor settlement on the S coast of Rhodes, possibly near Plimmyri, Rhodos.

At the northern end of Plimiri Bay is the church of the Zoödochos Pigi , a 19th century rib-vaulted building incorporating ancient columns and capitals in its structure, built over an Early Christian place of worship: tombs and part of a circuit wall can be seen on the landward side of the promontory above the church. (McGilchrist's Greek Islands)",,,,
ngOV0G28aObGbPlmyPn0bdlPpPi,13810202,Vroulia,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/590093,https://gazetteer.dainst.org/place/2362608,https://topostext.org/place/359278UVro,Hillside,13960731,"Vroulia, Archaic settlement near Vroulia in Rhodes Dodecanese.

The principal archaeological remains in the area, however, are to be seen at the very extremity of the island, 9km to the south across a deserted area now occupied mostly by the Military. The track to the right (west) just in front of the isthmus of the islet of Prasonísi, leads to the foot of a sloping promontory, on which are the remains of Ancient Vrouliá, a Late Geometric/Early Archaic settlement (8th to 6th centuries BC). Most of what is of interest to the visitor lies on the far side of the hill. A wall runs northwest/southeast along the ridge and the stepped or terraced foundations of the ancient houses run along this axis. At the summit, with good views of Karpathos and beyond, the remains of the most substantial building lie athwart the main axis and are oriented east/west, suggesting a probable cultic use. Beyond, at the northwestern extremity, is a sheer drop to the sea below. The site has given its name to a distinctive style of Archaic, blackfigure pottery, in which floral designs are lightly incised into the dark surface and colours added afterwards.(McGilchrist's Greek Islands)",,,,
ngOV0G28aObGbPlmyPn0bdlPpPi,13810202,Vroulia,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/590093,https://gazetteer.dainst.org/place/2362608,https://topostext.org/place/359278UVro,Coastal,13960730,"Vroulia, Archaic settlement near Vroulia in Rhodes Dodecanese.

The principal archaeological remains in the area, however, are to be seen at the very extremity of the island, 9km to the south across a deserted area now occupied mostly by the Military. The track to the right (west) just in front of the isthmus of the islet of Prasonísi, leads to the foot of a sloping promontory, on which are the remains of Ancient Vrouliá, a Late Geometric/Early Archaic settlement (8th to 6th centuries BC). Most of what is of interest to the visitor lies on the far side of the hill. A wall runs northwest/southeast along the ridge and the stepped or terraced foundations of the ancient houses run along this axis. At the summit, with good views of Karpathos and beyond, the remains of the most substantial building lie athwart the main axis and are oriented east/west, suggesting a probable cultic use. Beyond, at the northwestern extremity, is a sheer drop to the sea below. The site has given its name to a distinctive style of Archaic, blackfigure pottery, in which floral designs are lightly incised into the dark surface and colours added afterwards.(McGilchrist's Greek Islands)",,,,
ngZG1p38lAmR4AwxjAI17owOaKN,12466413,Phournoi,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599726,https://gazetteer.dainst.org/place/2289425,,Island,14186481,"Also known as: Korsiai, Furnoi",18727980,,0,"{""type"": ""Point"", ""coordinates"": [26.495826419746, 37.573759151029]}"
ngHO9b98tJYZ1IeZrJA7uweEiJV,12440999,Ialysos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589815,https://gazetteer.dainst.org/place/2299216,,Coastal,13960730,,18639642,,0,"{""type"": ""Point"", ""coordinates"": [28.15629, 36.41451]}"
ngHO9b98tJYZ1IeZrJA7uweEiJV,12440999,Ialysos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589815,https://gazetteer.dainst.org/place/2299216,,Hillside,13960731,,18639642,,0,"{""type"": ""Point"", ""coordinates"": [28.15629, 36.41451]}"
ngGN9a88sINY2HdeqGP69vdThHU,12440998,Lindos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589913,https://gazetteer.dainst.org/place/2090853,,Coastal,13960730,,18639643,,0,"{""type"": ""Point"", ""coordinates"": [28.0881777, 36.0913239]}"
ngGN9a88sINY2HdeqGP69vdThHU,12440998,Lindos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589913,https://gazetteer.dainst.org/place/2090853,,Hillside,13960731,,18639643,,0,"{""type"": ""Point"", ""coordinates"": [28.0881777, 36.0913239]}"
ngMT0E08yMjE0NjQwMV8wbjBnMA,12441000,Kamiros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589836,https://gazetteer.dainst.org/place/2122227,,Hillside,13960731,"Also known as Kameiros.",18639641,,0,"{""type"": ""Point"", ""coordinates"": [27.921195, 36.336185]}"
ngMT0E08yMjE0NjQwMV8wbjBnMA,12441000,Kamiros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589836,https://gazetteer.dainst.org/place/2122227,,Coastal,13960730,"Also known as Kameiros.",18639641,,0,"{""type"": ""Point"", ""coordinates"": [27.921195, 36.336185]}"
ngZG9x18lAwR6AwDjAy96owIaAt,12441691,Skyros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/541108,https://gazetteer.dainst.org/place/2099909,,Island,14186481,,18639629,,0,"{""type"": ""Point"", ""coordinates"": [24.565356000000005, 38.902984]}"
ngYF9w08kZlQ5ZvoiYx83nvVzAM,12441690,Rheneia,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599919,https://gazetteer.dainst.org/place/2106395,,Island,14186481,"Modern Rinia island.",18639630,,0,"{""type"": ""Point"", ""coordinates"": [25.229, 37.409]}"
ngXE8v98jZOP4YurhYG74muMyZL,12441689,Karpathos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589841,https://gazetteer.dainst.org/place/2347909,,Island,14186481,,18639631,,0,"{""type"": ""Point"", ""coordinates"": [27.146548038579, 35.590022249571]}"
ngDK1Z78pFKVnEaxnFW57sayeER,12443617,Thasos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/501635,https://gazetteer.dainst.org/place/2347926,,Island,14186481,,18639617,,0,"{""type"": ""Point"", ""coordinates"": [24.65, 40.683333]}"
ngCJ1G68oEJUpDzYmD740rzHdNQ,12443616,Leros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599764,https://gazetteer.dainst.org/place/2347908,,Island,14186481,,18639618,,0,"{""type"": ""Point"", ""coordinates"": [26.8224439, 37.1953268]}"
ngXE1P18jXkPkYuJhYQ92muKyIL,12447311,Knossos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/238779098,https://gazetteer.dainst.org/place/2179832,,Hillside,13960731,,18639597,,0,"{""type"": ""Point"", ""coordinates"": [25.162860542024, 35.298039064791]}"
ngAH9u28mBnSnBxOkAJ06pxXbAO,12444592,Syros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/590067,https://gazetteer.dainst.org/place/2296364,,Island,14186481,,18639609,,0,"{""type"": ""Point"", ""coordinates"": [24.92, 37.43]}"
ngZG9x18lAwR6AwDjZS9mowqaAt,12427791,Naxos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599822,https://gazetteer.dainst.org/place/2290449,,Island,14186481,,18618994,,0,"{""type"": ""Point"", ""coordinates"": [25.49, 37.05]}"
ngSZ5E88eSpK3TpScSB63hpjtSm,12433158,Ios,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599673,https://gazetteer.dainst.org/place/2099685,,Island,14186481,,18618981,,0,"{""type"": ""Point"", ""coordinates"": [25.333333, 36.716667]}"
ngOV8e08aPFGaPlOyPX83dljpQC,12433180,Andros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589693,https://gazetteer.dainst.org/place/2347902,,Island,14186481,,18618972,,0,"{""type"": ""Point"", ""coordinates"": [24.86, 37.85]}"
ngNU7d98zOUFzOkRxOm7xckGoOh,12433179,Paros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599868,https://gazetteer.dainst.org/place/2347920,,Island,14186481,,18618973,,0,"{""type"": ""Point"", ""coordinates"": [25.19, 37.05]}"
ngLS7X78xNSDwMibvLk5yaiImNZ,12433177,Peparethos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/541023,https://gazetteer.dainst.org/place/2362267,,Island,14186481,"Modern Skopelos island.",18618975,,0,"{""type"": ""Point"", ""coordinates"": [23.719616, 39.119096]}"
ngVC0V98hWMN9WsZfVO74ksIwGJ,12466909,Tenos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/590074,https://gazetteer.dainst.org/place/2070410,,Island,14186481,,18673802,,0,"{""type"": ""Point"", ""coordinates"": [25.114000000000004, 37.607]}"
ngVC6D18hVCN1WstfWu9fksIwVJ,12448861,Thera,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599973,https://gazetteer.dainst.org/place/2359521,,Island,14186481,"Modern Island of Santorini.",18673815,,0,"{""type"": ""Point"", ""coordinates"": [25.433333, 36.416667]}"
ngUB8s68gUhMhVrCeU748jrDvVo,12448886,Imbros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/501439,https://gazetteer.dainst.org/place/2283271,,Island,14186481,"Modern island of Gökçeada.",18673814,,0,"{""type"": ""Point"", ""coordinates"": [25.844444, 40.160833]}"
ngVC8t78hVsNiWsZfWu59ksOwVp,12448887,Gortyn,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589796,https://gazetteer.dainst.org/place/2347955,,Coastal,13960730,,18673813,,0,"{""type"": ""Point"", ""coordinates"": [24.946943722222, 35.062720166667]}"
ngVC8t78hVsNiWsZfWu59ksOwVp,12448887,Gortyn,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589796,https://gazetteer.dainst.org/place/2347955,,Hillside,13960731,,18673813,,0,"{""type"": ""Point"", ""coordinates"": [24.946943722222, 35.062720166667]}"
ngTA8r58fUKL7UqLdT63diqYuVH,12433185,"The Cyclades",,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/560353,,,Island,14186481,"Κυκλάδες, group of Central Mediterranean small islands.",18618969,,0,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[24.752197265624996, 38.01780398006112], [24.6533203125, 37.98750437106374], [24.400634765625, 37.844494798834575], [24.2633056640625, 37.74465712069939], [24.224853515625, 37.60987994374712], [24.158935546875, 37.50972584293751], [24.0655517578125, 37.055177106660814], [24.0655517578125, 36.88840804313823], [24.202880859375, 36.63757008123925], [24.444580078125, 36.474306755095235], [24.76318359375, 36.319551259461186], [25.24658203125, 36.20882309283712], [25.751953125, 36.2265501474709], [25.9442138671875, 36.30627216957992], [26.054077148437496, 36.491973470593685], [26.2188720703125, 36.681636065615216], [26.262817382812493, 36.79169061907076], [26.295776367187504, 36.923547681089296], [26.180419921875, 37.125286284966805], [26.103515625, 37.3002752813443], [25.867309570312496, 37.49229399862877], [25.6256103515625, 37.6968609874419], [25.4278564453125, 37.801103690609615], [25.037841796875, 37.97451499202459], [24.8236083984375, 38.00049145082287], [24.752197265624996, 38.01780398006112]]]}]}"
ngJQ4J98vLAB9KgFtK073ygGkKX,12150549,Rhodos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/590031,https://gazetteer.dainst.org/place/2290505,,Island,14186481,,18405336,,0,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[28.221130371093746, 36.45221769643571], [28.195037841796875, 36.436751611390264], [28.17306518554687, 36.4223874864237], [28.149719238281243, 36.4223874864237], [28.108520507812496, 36.410231151040215], [28.057708740234375, 36.39696752441776], [28.01651000976563, 36.379279167407965], [27.97531127929687, 36.366010258936925], [27.94647216796875, 36.34942094089192], [27.912139892578125, 36.34057185894721], [27.879180908203125, 36.32618995618608], [27.85858154296875, 36.30073854794736], [27.8118896484375, 36.27860013544234], [27.799530029296875, 36.255348043040904], [27.77755737304688, 36.23319675732526], [27.770690917968754, 36.19884985954492], [27.745971679687496, 36.18887535558557], [27.71026611328125, 36.16892253622743], [27.6800537109375, 36.153400163891945], [27.691040039062504, 36.14896463588831], [27.700653076171875, 36.130110843400146], [27.714385986328125, 36.11236195924294], [27.73773193359375, 36.107924111286465], [27.75970458984374, 36.09017021216552], [27.754211425781246, 36.04798862759408], [27.739105224609375, 36.00467348670187], [27.7349853515625, 35.97356075349624], [27.715759277343746, 35.951329861522666], [27.726745605468743, 35.930204718146754], [27.739105224609375, 35.9146352101371], [27.755584716796875, 35.902399875143615], [27.787170410156246, 35.891275201659134], [27.80364990234375, 35.90017506551962], [27.828369140625, 35.913522985137384], [27.850341796875004, 35.92464453144099], [27.879180908203125, 35.94799468798152], [27.89566040039062, 35.968003617226884], [27.906646728515625, 35.991340960635405], [27.92312622070313, 36.02133597448135], [27.94784545898437, 36.039105412048464], [27.97393798828125, 36.0513195750255], [28.011016845703125, 36.06575205170711], [28.03024291992188, 36.071302299422406], [28.048095703124996, 36.06908224732973], [28.05908203125, 36.061311571582486], [28.074188232421875, 36.053540128339755], [28.07968139648437, 36.05798104702501], [28.07281494140625, 36.07685215551436], [28.086547851562496, 36.0857311106239], [28.09341430664062, 36.09349937380574], [28.07830810546875, 36.107924111286465], [28.0645751953125, 36.12678323326426], [28.086547851562496, 36.155617833818525], [28.104400634765625, 36.17557404062257], [28.12362670898438, 36.18555023858626], [28.1304931640625, 36.18998369654791], [28.14697265625, 36.20549882293361], [28.155212402343754, 36.217687122250574], [28.164825439453125, 36.234304470709226], [28.17169189453125, 36.24316561280259], [28.1744384765625, 36.25202575042051], [28.1744384765625, 36.28081425933677], [28.19229125976562, 36.31401858021655], [28.2183837890625, 36.33614694088851], [28.221130371093746, 36.358269017192455], [28.236236572265625, 36.3693276982337], [28.2513427734375, 36.39033486213649], [28.236236572265625, 36.40249431065168], [28.23348999023437, 36.41907231092499], [28.23760986328125, 36.43343704922667], [28.234863281250004, 36.44227556709968], [28.221130371093746, 36.45221769643571]]]}]}"
ngCJ6w88oCTUoDzGmCb63rzDdDw,13663468,Pserimos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599910,,https://topostext.org/place/370271IPse,Island,14186481,"Pserimos has never been thoroughly explored archaeologically, but the traces of four Early Christian churches have been identified. A dense and fertile olive grove extends behind the church, covering the presumed area of the ancient settlement. Fresh water is not far below the surface here. (McGilchrist's Greek Islands)",20070574,,0,"{""type"": ""Point"", ""coordinates"": [27.133217, 36.955934]}"
ngIP7y48uJvA9JfAsKB28xfdjIW,13663474,Lepsimandos,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599762,,https://topostext.org/place/371271PLep,Island,14186481,"Ληψίμανδος - Lepsimandos, island polis with Medieval remains, the modern Kalolimnos on Kalymnos, Dodecanese",20070573,,0,"{""type"": ""Point"", ""coordinates"": [27.094769, 37.057579]}"
ngBI9v38nDST6CyBlBK18qyOcBP,13670393,Pharmakousa,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599880,https://gazetteer.dainst.org/place/2362288,https://topostext.org/place/373273IPha,Island,14186481,"Φαρμακοῦσσα - Pharmakousa, island, the modern Pharmakonisi, Dodecanese Greece.
Pharmakonísi takes its name from medicinal herbs which grow in abundance on the island: today—mostly borage, different kinds of sage, and the common culinary herbs. Pharmakousa's greatest claim to fame is that the young Julius Caesar was kidnapped by Cilician pirates here in 74 BC. The pirates were ignorant of whom they had seized, and when they demanded a ransom of 20 talents, he laughed at their request and offered them 50. It took 38 days to arrange the ransom, during which time the aspiring politician practised writing speeches and poems, which he tried out on his captors. Freed on receipt of the ransom, he returned to Miletus, commandeered a boat, pursued his former captors until he overtook them, and had them crucified, as he had laughingly promised them. The early 16th century Ottoman admiral, Piri Reis visited the island, and noted in particular a ‘grove of mastic trees'. N.B. Because of its sensitive frontier location, the whole island of Pharmakonísi is currently occupied by the Greek Military and is off-limits to civilian visits, except by prior permission of the Ministry of Defence. Pharmakonisi has a number of remains from Antiquity: vaulted 'tholoi', like those in Agathonisi, and the lower courses, with drafted corners, of two Hellenistic towers in late 4th century BC construction-technique stand near the hill-top church of Aghios Giorgios. There are the remains of a Byzantine church, some contemporaneous secular buildings, and traces of mosaic floor in the stretch between Thóli Bay and Paliómantra.
(McGilchrist's Greek Islands)",20074183,,0,"{""type"": ""Point"", ""coordinates"": [27.08528, 37.28778]}"
ngEL1A88qFrW2FbEoGX61tbJfFS,12429218,Ikaros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599667,https://gazetteer.dainst.org/place/2289426,,Island,14186481,"Also known as Ikaria.",18618987,,0,"{""type"": ""Point"", ""coordinates"": [26.073214299999997, 37.6305806]}"
ngPW2L98bPcH3QmfzPo79emQqQj,13810229,"Rhodos - Pylonas Tombs",,,,None,11945199,"Aegean Islands",12409567,,,https://gazetteer.dainst.org/place/2362119,https://topostext.org/place/361280GPyl,Uplands,14016048,"Myc. Tombs, cluster of six Mycenaean chamber tombs just N of Pylonas, Rhodes.

 A right turn off the main road is signed to the Mycenaean cemetery of Asprospiliá which was excavated between 1993–96. This consists of six tombs, two with side-chambers cut into the soft sandstone rock, dating from the late Mycenaean period—14th-12th centuries BC. Each is entered by a dromos or entrance gallery on the same, almost due-south, axis. Finds made here include pottery—much of it imported from the Argolid in the Peloponnese—and glass paste beads of Egyptian manufacture. (McGilchrist's Greek Islands)",20321198,,0,"{""type"": ""Point"", ""coordinates"": [28.0, 36.1]}"
ngEL1A88qGLW2FbuoE96qtbdfFy,13810218,Kymisala,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/589888,https://gazetteer.dainst.org/place/2361972,https://topostext.org/place/362278PKym,Uplands,14016048,"Κυμισαλα - Kymisala, Rhodian polis under excavation 2005-13 SW of Lakki, Rhodes, Dodecanese.",20321183,,0,"{""type"": ""Point"", ""coordinates"": [26.249999999999996, 34.75]}"
ngSZ0q68eSfK7TpScTB4chpntDG,13812506,"Rhodos - Sanctuary of Athena Lindia",,,,None,11945199,"Aegean Islands",12409567,,,,https://topostext.org/place/361281SAtL,Coastal,13960730,"Lindian Athena, Major religious center of Rhodes, on Lindos acropolis",,,,
ngPW0H38bQmH4QmXzPI15emMqPD,13809603,"Nisyros - Thermai",,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599977,https://gazetteer.dainst.org/place/2362527,https://topostext.org/place/366272SThe,Coastal,13960730,"Θέρμα - Thermai, Archaic to Roman bath and sanctuary, now the Panagia Thermiani, N of Pali in Nisyros Dodecanese.",20321187,,0,"{""type"": ""Point"", ""coordinates"": [27.179364, 36.618314]}"
ngMT2I68yMTExNjAwM740bjhnMA,13810026,Nisyrion,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599828,https://gazetteer.dainst.org/place/2362152,https://topostext.org/place/366270INis,Island,14186481,"Nisyrion, island group, the modern Pyrgousa/Pergousa, and Pakhia, Dodecanese Pergousa has two classical watchtowers.

The tiny but fertile island of Pyrgousa, almost six nautical miles to the west of Nisyros, deserves mention because of its two ancient sighting towers constructed in a dark red, volcanic dacite stone, in the same style and period as the ancient acropolis walls on Nisyros. Of the two towers on the island, the one situated near the centre of the island is square; the other, standing to a height of ten courses of masonry on higher land to the north, is more complex—rectangular in shape and consisting of several rooms, possibly because it combined the functions both of a look-out garrison station and as a store for agricultural produce. It is the island's strategic position in an important signalling chain, combined with its greater fertility than its other small neighbours that explains the presence of such substantial 4th century BC buildings on so small an islet.",20321186,,0,"{""type"": ""Point"", ""coordinates"": [27.050772, 36.573955]}"
ngTA3L38fVAL6UqrdVM1giqIuVH,13810033,Istros,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/599675,https://gazetteer.dainst.org/place/2361813,https://topostext.org/place/368273IIst,Island,14186481,"Ἴστρος - Istros, island, the modern Giali, Dodecanese Greece

Gialí is the largest of the satellite islands of Nisyros, and one of the most productive quarries of pumice in the world. Recent excavations on the island have brought to light remains of many houses from the period of Ottoman occupation—evidence of an intensive pre-industrial exploitation of the material. Gialí also has perlite deposits in the north of the island and obsidian in the northwest corner. The presence of these materials has meant that the island has been inhabited since earliest times: a significant Late Neolithic settlement, with dwellings (including a building of elliptical plan) and workshops, has been uncovered near the summit of the southwest part of the island: crucibles for smelting copper have also been found. There is less visible evidence of a Bronze Age presence even though it is clear there was a Minoan interest in the island's obsidian. The reported remains of an Hellenistic ‘nymphaeum' is congruent with the fact that the island surprisingly possesses many freshwater wells.(McGilchrist's Greek Islands)",20321185,,0,"{""type"": ""Point"", ""coordinates"": [27.121165228292995, 36.662544983982]}"
